"Form type","Form description","Filing date","Reporting date","Act","Film number(s)","File number(s)","Accession number","Size"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2017-08-11","2017-06-30","34","171024948","","0000950123-17-007462","8589"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2017-05-12","2017-03-31","34","17838505","","0000950123-17-004805","29712"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2017-02-10","2016-12-31","34","17593245","","0000950123-17-001485","44041"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2016-11-10","2016-09-30","34","161987961","","0000950123-16-021728","47492"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2016-08-12","2016-06-30","34","161828346","","0000950123-16-019772","40816"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2016-07-08","","","","","0001193125-16-644481","37837"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2016-05-13","2016-03-31","34","161648440","","0000950123-16-017156","66326"
"SC 13G","Statement of acquisition of beneficial ownership by individuals","2016-02-12","","","","","0001193125-16-462312","34388"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2016-02-12","2015-12-31","34","161418877","","0000950123-16-014510","66402"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2015-11-13","2015-09-30","34","151229970","","0000950123-15-011963","65594"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2015-08-14","2015-06-30","34","151055690","","0000950123-15-009402","65685"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2015-05-15","2015-03-31","34","15869463","","0000950123-15-006463","49296"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2015-02-13","2014-12-31","34","15614353","","0000950123-15-002078","50963"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2014-11-14","2014-09-30","34","141223861","","0000950123-14-012220","62414"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2014-08-08","2014-06-30","34","141027484","","0000950123-14-008131","57274"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2014-05-09","2014-03-31","34","14829043","","0000950123-14-005319","56157"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2014-02-14","2013-12-31","34","14617025","","0000950123-14-002641","57692"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2014-02-07","2013-06-30","34","14584393","","0000950123-14-001324","4884"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2014-02-07","2013-09-30","34","14584390","","0000950123-14-001323","4886"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2013-11-08","2013-09-30","34","131204722","","0000950123-13-008799","59718"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2013-08-09","2013-06-30","34","131026717","","0000950123-13-005805","56121"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2013-05-10","2013-03-31","34","13833451","","0001193125-13-214118","16237"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2013-02-08","2012-12-31","34","13586846","","0001193125-13-046116","15740"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2012-11-09","2012-09-30","34","121193719","","0001193125-12-463279","14007"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2012-08-10","2012-06-30","34","121024663","","0001193125-12-349969","15113"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2012-05-11","2012-03-31","34","12834632","","0001193125-12-228370","15770"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2012-02-10","2011-12-31","34","12592918","","0001193125-12-052488","14365"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2011-11-10","2011-09-30","34","111195452","","0001193125-11-306902","14646"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2011-08-12","2011-06-30","34","111031432","","0001193125-11-221373","16837"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2011-05-13","2011-03-31","34","11841540","","0001193125-11-139614","15979"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2011-02-11","2010-12-31","34","11599048","","0001193125-11-032760","21110"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2010-11-12","2010-09-30","34","101187918","","0001193125-10-259062","22015"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2010-08-13","2010-06-30","34","101015351","","0001193125-10-188767","16047"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2010-05-14","2010-03-31","34","10833382","","0001193125-10-120666","18319"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2010-02-12","2009-12-31","34","10599183","","0001193125-10-030566","18733"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2009-11-13","2009-09-30","34","091182019","","0001193125-09-234294","15829"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2009-08-13","2009-06-30","34","091011392","","0001193125-09-174545","17394"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2009-05-13","2009-03-31","34","09822812","","0001193125-09-109871","16241"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2009-02-13","","","","","0001193125-09-029352","50249"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2009-02-13","","","","","0001193125-09-029350","56968"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2009-02-13","","","","","0001193125-09-029349","52143"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2009-02-13","","","","","0001193125-09-029348","50380"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2009-02-13","","","","","0001193125-09-029340","52019"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2009-02-13","","","","","0001193125-09-029337","50272"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2009-02-13","","","","","0001193125-09-029334","52164"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2009-02-13","","","","","0001193125-09-029328","52216"
"SC 13G","Statement of acquisition of beneficial ownership by individuals","2009-02-13","","","","","0001193125-09-029327","52129"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2009-02-13","","","","","0001193125-09-029324","51923"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2009-02-13","","","","","0001193125-09-029321","55457"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2009-02-13","","","","","0001193125-09-029312","50097"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2009-02-13","","","","","0001193125-09-029301","49947"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2009-02-13","2008-12-31","34","09604123","","0001193125-09-029294","12737"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2009-02-10","2008-12-31","34","09586535","","0001193125-09-024161","12393"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2008-11-12","2008-09-30","34","081181664","","0001193125-08-233901","27977"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2008-08-11","2008-06-30","34","081007066","","0001193125-08-173626","34070"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2008-05-15","2008-03-31","34","08837609","","0001082621-08-000006","88650"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2008-02-11","2007-12-31","34","08590467","","0001082621-08-000004","96878"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2007-11-09","2007-09-30","34","071232557","","0001082621-07-000014","88285"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2007-08-10","2007-06-30","34","071045771","","0001082621-07-000008","91757"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2007-05-11","2007-03-31","34","07842649","","0001082621-07-000005","84206"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2007-02-09","2006-12-31","34","07598290","","0001082621-07-000002","134255"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2006-11-13","2006-09-30","34","061209342","","0001082621-06-000010","132579"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2006-08-11","2006-06-30","34","061025558","","0001082621-06-000008","149372"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2006-05-11","2006-03-31","34","06829626","","0001082621-06-000006","158004"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2006-05-11","2006-03-31","34","06828413","","0001082621-06-000004","148290"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2006-02-09","2005-12-31","34","06591221","","0001082621-06-000002","134015"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2005-11-09","2005-09-30","34","051188417","","0001082621-05-000010","131616"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2005-08-11","2005-06-30","34","051016587","","0001082621-05-000007","134383"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2005-05-11","2005-03-31","34","05819883","","0001082621-05-000005","134381"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2005-02-14","2004-12-31","34","05609313","","0001082621-05-000003","137987"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2004-11-12","2004-09-30","34","041137787","","0001082621-04-000010","137751"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2004-08-10","2004-06-30","","04963975","","0001082621-04-000008","135552"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2004-05-13","2004-03-31","","04801559","","0001082621-04-000005","132309"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2004-02-13","2003-12-31","","04596051","","0001082621-04-000002","126557"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2003-11-06","2003-09-30","","03982389","","0001082621-03-000024","124039"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2003-10-24","2003-06-30","","03955359","","0001082621-03-000022","122549"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2003-10-24","2003-03-31","","03955356","","0001082621-03-000021","123745"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2003-10-24","2002-12-31","","03955349","","0001082621-03-000020","122666"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2003-10-24","2002-09-30","","03955346","","0001082621-03-000019","124111"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2003-10-24","2002-06-30","","03955342","","0001082621-03-000018","122662"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2003-10-24","2002-03-31","","03955338","","0001082621-03-000017","201146"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2003-10-24","2001-12-31","","03955335","","0001082621-03-000016","201507"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2003-10-24","2001-09-30","","03955333","","0001082621-03-000015","204862"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2003-10-24","2001-06-30","","03955330","","0001082621-03-000014","198628"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2003-10-24","2001-06-30","","03955321","","0001082621-03-000013","204862"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2003-10-20","2001-03-31","","03947164","","0001082621-03-000010","193353"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2003-08-12","2003-06-30","","03837244","","0001082621-03-000008","120757"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2003-05-15","2003-03-31","","03704208","","0001082621-03-000006","121957"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2003-02-06","2002-12-31","","03541860","","0001082621-03-000002","120877"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2002-11-05","2002-09-30","","02809255","","0001082621-02-000019","122441"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2002-08-08","2002-06-30","","02722305","","0001082621-02-000015","120970"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2002-05-08","2002-03-31","","02637778","","0001082621-02-000012","199421"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2002-05-02","2002-03-31","","02631042","","0001082621-02-000010","220534"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2002-02-04","2001-12-31","","02525754","","0001082621-02-000005","199774"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2001-11-02","2001-09-30","","1773662","","0001082621-01-500016","202762"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2001-08-07","2001-06-30","","01699660","","0001082621-01-500007","196932"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2001-05-07","2001-03-31","","1624073","","0001082621-01-500005","191647"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2001-02-12","2000-12-31","","1533635","","0001082621-01-000003","191076"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2000-11-13","2000-09-30","","761118","","0001082621-00-000019","192300"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2000-08-08","2000-06-30","","688265","","0001082621-00-000014","192662"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2000-08-08","2000-06-30","","687794","","0001082621-00-000011","210053"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2000-05-04","2000-03-31","","619041","","0001082621-00-000009","209884"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2000-03-15","1999-12-31","","570400","","0001082621-00-000007","205336"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2000-02-17","1999-12-31","","548555","","0001082621-00-000002","204614"
"13F-HR","Quarterly report filed by institutional managers, Holdings","1999-10-29","1999-09-30","","99737408","","0001082621-99-000017","215768"
"13F-HR","Quarterly report filed by institutional managers, Holdings","1999-08-03","1999-06-30","","99676769","","0001082621-99-000015","199826"
"13F-HR","Quarterly report filed by institutional managers, Holdings","1999-05-03","1999-03-31","","99608531","","0001082621-99-000008","172482"
