"Form type","Form description","Filing date","Reporting date","Act","Film number(s)","File number(s)","Accession number","Size"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2014-02-06","2013-12-31","34","14580800","","0001062993-14-000533","8868"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2014-02-06","2013-12-31","34","14579861","","0001062993-14-000523","8692"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2013-11-12","2013-09-30","34","131207373","","0001062993-13-005519","7849"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2013-08-12","2013-06-30","34","131029276","","0001062993-13-003959","7858"
"4","Statement of changes in beneficial ownership of securities","2013-05-14","2013-05-10","34","13843428","","0001140361-13-020729","54582"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2013-05-14","2013-03-31","34","13838674","","0001315828-13-000002","4357"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2013-02-13","2012-12-31","34","13599283","","0001315828-13-000001","4283"
"SC 13G","Statement of acquisition of beneficial ownership by individuals","2013-02-05","","","","","0000904454-13-000157","44316"
"4","Statement of changes in beneficial ownership of securities","2013-01-23","2013-01-18","34","13543980","","0001140361-13-002923","37455"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2012-11-08","2012-09-30","34","121190657","","0001315828-12-000006","4367"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2012-08-07","2012-06-30","34","121012740","","0001315828-12-000005","4278"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2012-05-09","2012-03-31","34","12824850","","0001315828-12-000003","4111"
"4","Statement of changes in beneficial ownership of securities","2012-03-02","2012-02-29","34","12664223","","0001140361-12-012888","45796"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2012-01-24","2011-12-31","34","12541612","","0001315828-12-000002","4043"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2012-01-19","2011-12-31","34","12534448","","0001315828-12-000001","4036"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2011-11-09","2011-09-30","34","111192402","","0001315828-11-000004","3743"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2011-08-11","2011-06-30","34","111025541","","0001315828-11-000003","4182"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2011-04-26","2011-03-31","34","11779402","","0001315828-11-000002","3782"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2011-02-10","2010-12-31","34","11591685","","0001315828-11-000001","4087"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2010-11-18","2010-09-30","34","101201955","","0001315828-10-000007","4097"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2010-11-12","2010-09-30","34","101184514","","0001315828-10-000006","4090"
"SC 13G","Statement of acquisition of beneficial ownership by individuals","2010-08-23","","","","","0000950123-10-079868","39433"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2010-08-13","2010-06-30","34","101012454","","0001315828-10-000005","4232"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2010-05-12","2010-03-31","34","10822412","","0001315828-10-000004","4150"
"D","Notice of Exempt Offering of Securities","2010-04-30","","33","10783189","","0001315828-10-000002","14840"
"4","Statement of changes in beneficial ownership of securities","2010-03-08","2010-02-05","34","10664803","","0001181431-10-014663","5725"
"3","Initial statement of beneficial ownership of securities","2010-03-08","2010-02-02","34","10664792","","0001181431-10-014659","4769"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2010-02-10","2009-12-31","34","10588548","","0001315828-10-000001","4070"
"3","Initial statement of beneficial ownership of securities","2009-12-16","2009-12-16","34","091244912","","0001013762-09-002325","40577"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2009-11-12","2009-09-30","34","091176677","","0001315828-09-000007","3985"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2009-08-13","2009-06-30","34","091007897","","0001315828-09-000006","4200"
"4","Statement of changes in beneficial ownership of securities","2009-07-30","2009-07-28","34","09973015","","0000929638-09-001266","7534"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2009-06-19","2009-03-31","34","09899553","","0001315828-09-000005","3560"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2009-06-19","2008-12-31","34","09899544","","0001315828-09-000004","3470"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2009-06-19","2008-09-30","34","09899533","","0001315828-09-000003","3464"
"4","Statement of changes in beneficial ownership of securities","2009-05-29","2009-05-27","34","09863118","","0000929638-09-000979","9283"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2009-05-15","2009-03-31","34","09828303","","0001315828-09-000002","4014"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2009-02-13","2008-12-31","34","09596554","","0001315828-09-000001","4016"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2008-11-12","2008-09-30","34","081177444","","0001315828-08-000006","4184"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2008-08-13","2008-06-30","34","081010847","","0001315828-08-000005","4008"
"3","Initial statement of beneficial ownership of securities","2008-08-01","2008-07-23","34","08983376","","0000929638-08-000412","4782"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2008-05-13","2008-03-31","34","08826961","","0001315828-08-000002","4009"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2008-02-14","2007-12-31","34","08613335","","0001315828-08-000001","4731"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2007-11-14","2007-09-30","34","071242914","","0001315828-07-000009","4478"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2007-08-14","2007-06-30","34","071053732","","0001315828-07-000008","4747"
"SC 13G","Statement of acquisition of beneficial ownership by individuals","2007-06-06","","","","","0000950134-07-012969","47145"
"3","Initial statement of beneficial ownership of securities","2005-04-04","2004-05-28","34","05728837","","0001209191-05-018715","6870"
"3","Initial statement of beneficial ownership of securities","2005-04-04","2003-06-30","34","05728815","","0001209191-05-018714","7045"
"SC 13G","Statement of acquisition of beneficial ownership by individuals","2005-04-04","","","","","0000950005-05-000321","14875"
"SC 13G","Statement of acquisition of beneficial ownership by individuals","2005-04-04","","","","","0000950005-05-000320","15081"
