"Form type","Form description","Filing date","Reporting date","Act","Film number(s)","File number(s)","Accession number","Size"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2005-02-23","2004-12-31","34","05634231","","0000351051-05-000003","8534"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2004-11-01","2004-09-30","34","041109588","","0000351051-04-000005","9085"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2004-08-02","2004-06-30","","04945061","","0000351051-04-000004","8828"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2004-05-04","2004-03-31","","04776222","","0000351051-04-000003","8716"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2004-02-03","2003-12-31","","04561529","","0000351051-04-000002","9055"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2003-11-03","2003-09-30","","03972312","","0000351051-03-000004","8503"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2003-08-22","2003-06-30","","03861671","","0000351051-03-000003","8607"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2003-05-01","2003-03-31","","03677093","","0000351051-03-000002","8498"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2003-02-11","2002-12-31","","03550022","","0000351051-03-000001","8506"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2002-11-08","2002-09-30","","02814281","","0000351051-02-000005","8615"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2002-08-08","2002-06-30","","02722356","","0000351051-02-000003","10229"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2002-05-02","2002-03-31","","02631197","","0000351051-02-000002","11401"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2002-02-04","2001-12-31","","02525981","","0000351051-02-000001","11960"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2001-11-05","2001-09-30","","1774723","","0000351051-01-500009","14449"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2001-10-05","2001-06-30","","1752909","","0000351051-01-500008","14993"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2001-05-31","2001-03-31","","1651519","","0000351051-01-500007","15947"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2001-02-06","2000-12-31","","1525821","","0000351051-01-500006","17385"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2000-11-09","2000-09-30","","757140","","0000351051-00-500006","17454"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2000-10-16","2000-03-31","","740415","","0000351051-00-500005","13359"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2000-08-17","2000-06-30","","704857","","0000351051-00-500004","13332"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2000-02-07","1999-12-31","","525824","","0000351051-00-000001","12460"
"13F-HR","Quarterly report filed by institutional managers, Holdings","1999-12-07","1999-09-30","","99769896","","0000351051-99-000004","13111"
"13F-HR","Quarterly report filed by institutional managers, Holdings","1999-08-16","1999-06-30","","99694130","","0000351051-99-000002","14239"
