"Form type","Form description","Filing date","Reporting date","Act","Film number(s)","File number(s)","Accession number","Size"
"4/A","Statement of changes in beneficial ownership of securities - amendment","2017-08-25","2017-07-18","34","171052080","","0001123292-17-001384","6648"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2017-08-14","2017-06-30","34","171028788","","0000938582-17-000010","5700"
"4","Statement of changes in beneficial ownership of securities","2017-07-20","2017-07-18","34","17974731","","0001123292-17-001323","10003"
"3","Initial statement of beneficial ownership of securities","2017-07-20","2017-07-18","34","17974719","","0001123292-17-001322","3867"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2017-05-15","2017-03-31","34","17842865","","0000938582-17-000009","6867"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2017-02-13","2016-12-31","34","17597173","","0000938582-17-000008","9062"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2016-11-14","2016-09-30","34","161993264","","0000938582-16-000013","6884"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2016-08-11","2016-06-30","34","161823303","","0000938582-16-000012","7942"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2016-05-16","2016-03-31","34","161651795","","0000938582-16-000011","6281"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2016-02-11","2015-12-31","34","161409206","","0000938582-16-000010","6310"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2015-11-13","2015-09-30","34","151227169","","0000938582-15-000007","8007"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2015-08-13","2015-06-30","34","151050159","","0000938582-15-000006","6830"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2015-05-12","2015-03-31","34","15853844","","0000938582-15-000005","7370"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2015-02-11","2014-12-31","34","15599906","","0000938582-15-000001","6300"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2014-11-14","2014-09-30","34","141222029","","0000938582-14-000005","5089"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2014-08-08","2014-06-30","34","141027258","","0000938582-14-000004","6841"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2014-05-14","2014-03-31","34","14840196","","0000938582-14-000003","6833"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2014-02-12","2013-12-31","34","14599009","","0000938582-14-000002","8454"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2013-11-12","2013-09-30","34","131209996","","0000938582-13-000005","7901"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2013-08-14","2013-06-30","34","131037685","","0000938582-13-000004","6860"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2013-05-14","2013-03-31","34","13841304","","0000938582-13-000002","4282"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2013-02-15","2012-12-31","34","13618971","","0000938582-13-000001","4555"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2012-11-14","2012-09-30","34","121201611","","0000938582-12-000011","4666"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2012-08-14","2012-06-30","34","121032509","","0000938582-12-000010","4325"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2012-05-14","2012-03-31","34","12838445","","0000938582-12-000008","4658"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2012-02-14","2011-12-31","34","12604858","","0000938582-12-000007","4669"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2012-02-03","","","","","0000938582-12-000002","6545"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2011-11-14","2011-09-30","34","111200068","","0000938582-11-000009","4408"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2011-08-15","2011-06-30","34","111037946","","0000938582-11-000007","4404"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2011-05-13","2011-03-31","34","11840351","","0000938582-11-000005","4293"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2011-02-11","2010-12-31","34","11599447","","0000938582-11-000003","4936"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2010-02-12","2009-12-31","34","10597853","","0000938582-10-000002","5063"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2009-11-19","2009-09-30","34","091196011","","0000938582-09-000086","4724"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2009-11-19","2009-06-30","34","091195923","","0000938582-09-000084","5064"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2009-11-19","2008-03-31","34","091195861","","0000938582-09-000082","4951"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2009-11-13","2009-09-30","34","091181255","","0000938582-09-000080","4712"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2009-08-14","2009-06-30","34","091012946","","0000938582-09-000078","5055"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2009-05-15","2009-03-31","34","09832705","","0000938582-09-000046","4941"
"SC 13G","Statement of acquisition of beneficial ownership by individuals","2009-02-17","","","","","0000938582-09-000018","6610"
"SC 13G","Statement of acquisition of beneficial ownership by individuals","2009-02-17","","","","","0000938582-09-000016","7641"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2009-02-13","2008-12-31","34","09603529","","0000938582-09-000014","5167"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2008-11-14","2008-09-30","34","081192315","","0000938582-08-000036","5274"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2008-09-10","","","","","0000938582-08-000015","7966"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2008-08-14","2008-06-30","34","081018618","","0000938582-08-000013","5181"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2008-08-14","2008-06-30","34","081018123","","0000938582-08-000009","3835"
"SC 13D/A","General statement of acquisition of beneficial ownership - amendment","2008-07-10","","","","","0000950123-08-007743","29642"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2008-05-14","2008-03-31","34","08829980","","0000938582-08-000007","5497"
"4","Statement of changes in beneficial ownership of securities","2008-03-04","2008-02-29","34","08663614","","0001181431-08-015791","40713"
"4","Statement of changes in beneficial ownership of securities","2008-03-03","2008-02-28","34","08659202","","0001181431-08-015202","32120"
"4","Statement of changes in beneficial ownership of securities","2008-02-29","2008-02-27","34","08655718","","0001181431-08-014836","30689"
"4","Statement of changes in beneficial ownership of securities","2008-02-29","2008-02-27","34","08655715","","0001181431-08-014835","47853"
"4","Statement of changes in beneficial ownership of securities","2008-02-28","2008-02-26","34","08649307","","0001181431-08-014349","16383"
"4","Statement of changes in beneficial ownership of securities","2008-02-28","2008-02-26","34","08649305","","0001181431-08-014348","47845"
"4","Statement of changes in beneficial ownership of securities","2008-02-27","2008-02-25","34","08646154","","0001181431-08-014002","19246"
"4","Statement of changes in beneficial ownership of securities","2008-02-27","2008-02-25","34","08646152","","0001181431-08-014000","47843"
"4","Statement of changes in beneficial ownership of securities","2008-02-27","2008-02-25","34","08646149","","0001181431-08-013999","47848"
"4","Statement of changes in beneficial ownership of securities","2008-02-25","2008-02-22","34","08640473","","0001181431-08-013410","34971"
"4","Statement of changes in beneficial ownership of securities","2008-02-25","2008-02-22","34","08640466","","0001181431-08-013409","47848"
"4","Statement of changes in beneficial ownership of securities","2008-02-25","2008-02-21","34","08638802","","0001181431-08-013221","27828"
"4","Statement of changes in beneficial ownership of securities","2008-02-25","2008-02-21","34","08638799","","0001181431-08-013219","47850"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2008-02-15","","","","","0000938582-08-000005","7235"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2008-02-13","2007-12-31","34","08599854","","0000938582-08-000002","5618"
"4","Statement of changes in beneficial ownership of securities","2007-12-04","2007-11-30","34","071283922","","0001181431-07-073094","37864"
"4/A","Statement of changes in beneficial ownership of securities - amendment","2007-12-04","2006-05-15","34","071283916","","0001181431-07-073092","10334"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2007-11-14","2007-09-30","34","071241888","","0000938582-07-000008","6295"
"3","Initial statement of beneficial ownership of securities","2007-10-24","2006-10-23","34","071188754","","0001123292-07-000848","6267"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2007-08-15","2007-06-30","34","071058140","","0000938582-07-000006","5044"
"SC 13D/A","General statement of acquisition of beneficial ownership - amendment","2007-08-02","","","","","0001123292-07-000693","36947"
"4","Statement of changes in beneficial ownership of securities","2007-08-02","2007-03-26","34","071018406","","0001123292-07-000689","5775"
"4","Statement of changes in beneficial ownership of securities","2007-08-02","2006-07-14","34","071018404","","0001123292-07-000688","5366"
"4","Statement of changes in beneficial ownership of securities","2007-06-01","2007-05-31","34","07894254","","0001181431-07-036954","10684"
"4","Statement of changes in beneficial ownership of securities","2007-06-01","2007-05-30","34","07894253","","0001181431-07-036953","13542"
"4","Statement of changes in beneficial ownership of securities","2007-05-18","2006-05-15","34","07863227","","0001181431-07-033561","8083"
"4","Statement of changes in beneficial ownership of securities","2007-05-15","2007-05-14","34","07853427","","0001181431-07-032530","14974"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2007-05-15","2007-03-31","34","07852330","","0000938582-07-000004","5488"
"4","Statement of changes in beneficial ownership of securities","2007-05-15","2007-05-11","34","07849987","","0001181431-07-032381","12115"
"4","Statement of changes in beneficial ownership of securities","2007-05-09","2007-05-07","34","07830659","","0001181431-07-030825","10685"
"4","Statement of changes in beneficial ownership of securities","2007-05-08","2007-05-04","34","07827272","","0001181431-07-030532","14976"
"4","Statement of changes in beneficial ownership of securities","2007-05-07","2007-05-03","34","07822899","","0001181431-07-030137","27847"
"4","Statement of changes in beneficial ownership of securities","2007-05-04","2007-05-02","34","07819684","","0001181431-07-029778","9226"
"SC 13D/A","General statement of acquisition of beneficial ownership - amendment","2007-03-05","","","","","0000950123-07-003212","19964"
"4","Statement of changes in beneficial ownership of securities","2007-03-02","2007-02-28","34","07666486","","0001181431-07-016204","18019"
"4","Statement of changes in beneficial ownership of securities","2007-03-01","2007-02-27","34","07661505","","0001181431-07-015707","16810"
"4","Statement of changes in beneficial ownership of securities","2007-02-22","2007-02-20","34","07640615","","0001181431-07-013266","22360"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2007-02-14","2006-12-31","34","07614910","","0000938582-07-000002","5834"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2006-11-22","","","","","0000938582-06-000012","7192"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2006-11-14","2006-09-30","34","061212102","","0000938582-06-000010","5057"
"4","Statement of changes in beneficial ownership of securities","2006-08-15","2006-08-14","34","061036331","","0001181431-06-047805","6393"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2006-08-14","2006-06-30","34","061029139","","0000938582-06-000008","5728"
"4","Statement of changes in beneficial ownership of securities","2006-08-10","2006-08-09","34","061020661","","0001181431-06-046738","7836"
"4","Statement of changes in beneficial ownership of securities","2006-08-10","2006-08-08","34","061020627","","0001181431-06-046734","9267"
"4","Statement of changes in beneficial ownership of securities","2006-08-08","2006-08-07","34","061014560","","0001181431-06-046431","7638"
"4","Statement of changes in beneficial ownership of securities","2006-08-07","2006-08-04","34","061010631","","0001181431-06-046190","7673"
"4","Statement of changes in beneficial ownership of securities","2006-08-03","2006-08-02","34","061001418","","0001123292-06-000501","5366"
"4","Statement of changes in beneficial ownership of securities","2006-07-27","2006-06-28","34","06983752","","0001123292-06-000492","14202"
"3","Initial statement of beneficial ownership of securities","2006-07-27","2006-06-15","34","06983748","","0001123292-06-000491","4617"
"SC 13D","General statement of acquisition of beneficial ownership","2006-06-15","","","","","0001123292-06-000392","88284"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2006-05-12","2006-03-31","34","06834130","","0000938582-06-000006","5150"
"4","Statement of changes in beneficial ownership of securities","2006-05-12","2006-05-10","34","06834024","","0001181431-06-029913","10684"
"4","Statement of changes in beneficial ownership of securities","2006-05-10","2006-05-08","34","06826451","","0001181431-06-029382","9253"
"4","Statement of changes in beneficial ownership of securities","2006-05-09","2006-05-05","34","06820303","","0001181431-06-028938","6394"
"4","Statement of changes in beneficial ownership of securities","2006-05-08","2006-05-04","34","06816441","","0001181431-06-028664","7825"
"4","Statement of changes in beneficial ownership of securities","2006-05-05","2006-05-03","34","06811459","","0001181431-06-028127","20693"
"SC 13D/A","General statement of acquisition of beneficial ownership - amendment","2006-05-04","","","","","0000950123-06-005753","27090"
"4","Statement of changes in beneficial ownership of securities","2006-05-04","2006-05-02","34","06808719","","0001181431-06-027872","6394"
"4","Statement of changes in beneficial ownership of securities","2006-03-15","2006-03-13","34","06687650","","0001181431-06-018152","12360"
"4","Statement of changes in beneficial ownership of securities","2006-03-13","2006-03-10","34","06682303","","0001181431-06-017622","8309"
"4","Statement of changes in beneficial ownership of securities","2006-03-13","2006-03-09","34","06681146","","0001181431-06-017501","8864"
"4","Statement of changes in beneficial ownership of securities","2006-03-10","2006-03-08","34","06678421","","0001181431-06-017343","8117"
"4","Statement of changes in beneficial ownership of securities","2006-03-09","2006-03-07","34","06676017","","0001181431-06-017162","8223"
"4","Statement of changes in beneficial ownership of securities","2006-03-08","2006-03-06","34","06673247","","0001181431-06-016910","8496"
"SC 13D/A","General statement of acquisition of beneficial ownership - amendment","2006-03-08","","","","","0000950123-06-002779","19951"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2006-02-14","2005-12-31","34","06615971","","0000938582-06-000004","5502"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2006-02-14","","","","","0000938582-06-000002","6842"
"4","Statement of changes in beneficial ownership of securities","2005-11-17","2005-11-15","34","051213062","","0001181431-05-062043","7219"
"4","Statement of changes in beneficial ownership of securities","2005-11-15","2005-11-11","34","051205846","","0001181431-05-061391","8064"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2005-11-14","2005-09-30","34","051201444","","0000938582-05-000026","5240"
"4","Statement of changes in beneficial ownership of securities","2005-11-14","2005-11-09","34","051199545","","0001181431-05-061107","11094"
"SC 13D/A","General statement of acquisition of beneficial ownership - amendment","2005-08-26","","","","","0000950123-05-010426","12303"
"4","Statement of changes in beneficial ownership of securities","2005-08-26","2005-05-04","34","051052207","","0001181431-05-049133","32188"
"4/A","Statement of changes in beneficial ownership of securities - amendment","2005-08-26","2005-05-18","34","051052202","","0001181431-05-049132","8241"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2005-08-11","2005-06-30","34","051017722","","0000938582-05-000024","5277"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2005-08-09","","","","","0000938582-05-000022","7306"
"4","Statement of changes in beneficial ownership of securities","2005-05-19","2005-05-18","34","05845935","","0001005477-05-001842","5508"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2005-05-13","2005-03-31","34","05829782","","0000938582-05-000019","5386"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2005-02-14","2004-12-31","34","05605380","","0000938582-05-000017","5949"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2005-02-07","","","","","0000938582-05-000014","6868"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2005-02-07","","","","","0000938582-05-000012","6196"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2005-02-07","","","","","0000938582-05-000010","6107"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2005-02-07","","","","","0000938582-05-000008","6933"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2005-02-07","","","","","0000938582-05-000006","6838"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2005-02-02","","","","","0000938582-05-000004","6428"
"SC 13G","Statement of acquisition of beneficial ownership by individuals","2005-01-10","","","","","0000938582-05-000002","6695"
"4/A","Statement of changes in beneficial ownership of securities - amendment","2004-11-29","2004-11-10","34","041170898","","0001181431-04-055245","8330"
"4/A","Statement of changes in beneficial ownership of securities - amendment","2004-11-29","2004-08-04","34","041170893","","0001181431-04-055243","14486"
"SC 13D/A","General statement of acquisition of beneficial ownership - amendment","2004-11-29","","","","","0000950123-04-014168","11318"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2004-11-15","2004-09-30","34","041145405","","0000938582-04-000016","5514"
"4","Statement of changes in beneficial ownership of securities","2004-11-10","2004-11-10","34","041133622","","0001181431-04-051903","8043"
"SC 13D/A","General statement of acquisition of beneficial ownership - amendment","2004-11-10","","","","","0000950123-04-013382","10866"
"SC 13D/A","General statement of acquisition of beneficial ownership - amendment","2004-11-09","","","","","0000950123-04-013200","60937"
"4","Statement of changes in beneficial ownership of securities","2004-09-24","2002-09-17","","041044540","","0001005477-04-003433","14646"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2004-08-13","2004-06-30","","04975505","","0000938582-04-000014","5906"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2004-05-14","2004-03-31","","04806774","","0000938582-04-000012","5351"
"4","Statement of changes in beneficial ownership of securities","2004-03-31","2004-03-31","","04705910","","0001181431-04-018252","8278"
"SC 13D/A","General statement of acquisition of beneficial ownership - amendment","2004-03-31","","","","","0000950123-04-004062","12007"
"SC 13D/A","General statement of acquisition of beneficial ownership - amendment","2004-03-26","","","","","0000950123-04-003846","11687"
"SC 13D/A","General statement of acquisition of beneficial ownership - amendment","2004-03-23","","","","","0000950123-04-003658","59966"
"SC 13G","Statement of acquisition of beneficial ownership by individuals","2004-02-17","","","","","0000938582-04-000010","7125"
"SC 13G","Statement of acquisition of beneficial ownership by individuals","2004-02-17","","","","","0000938582-04-000009","7219"
"SC 13G","Statement of acquisition of beneficial ownership by individuals","2004-02-17","","","","","0000938582-04-000008","7096"
"SC 13G","Statement of acquisition of beneficial ownership by individuals","2004-02-17","","","","","0000938582-04-000007","7184"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2004-02-17","","","","","0000938582-04-000004","7185"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2004-02-17","2003-12-31","","04608447","","0000938582-04-000002","5811"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2003-11-13","2003-09-30","","03998409","","0000938582-03-000023","5930"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2003-08-14","2003-06-30","","03847657","","0000938582-03-000020","6745"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2003-05-19","","","","","0000938582-03-000018","6231"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2003-05-15","2003-03-31","","03700413","","0000938582-03-000016","6396"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2003-02-12","2002-12-31","","03555658","","0000938582-03-000014","6594"
"SC 13G","Statement of acquisition of beneficial ownership by individuals","2003-02-12","","","","","0000938582-03-000012","6255"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2003-01-24","","","","","0000938582-03-000010","6014"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2003-01-24","","","","","0000938582-03-000008","6620"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2003-01-24","","","","","0000938582-03-000006","6507"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2003-01-24","","","","","0000938582-03-000004","6686"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2003-01-24","","","","","0000938582-03-000002","6622"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2002-11-13","2002-09-30","","02819878","","0000938582-02-000046","6739"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2002-10-11","","","","","0000938582-02-000044","6929"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2002-10-10","","","","","0000938582-02-000042","6705"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2002-10-10","","","","","0000938582-02-000040","6701"
"SC 13D","General statement of acquisition of beneficial ownership","2002-09-25","","","","","0000950123-02-009180","25317"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2002-08-13","2002-06-30","","02730023","","0000938582-02-000036","7350"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2002-05-09","2002-03-31","","02639738","","0000938582-02-000034","6841"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2002-05-07","","","","","0000938582-02-000031","6537"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2002-05-07","","","","","0000938582-02-000029","5975"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2002-03-07","","","","","0000938582-02-000027","6332"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2002-02-14","2001-12-31","","02549246","","0000938582-02-000025","8911"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2002-02-14","","","","","0000938582-02-000023","6357"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2002-01-04","","","","","0000938582-02-000021","6612"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2002-01-03","","","","","0000938582-02-000018","6654"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2002-01-03","","","","","0000938582-02-000017","6416"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2002-01-03","","","","","0000938582-02-000015","6426"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2002-01-03","","","","","0000938582-02-000014","6538"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2002-01-03","","","","","0000938582-02-000013","6361"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2002-01-03","","","","","0000938582-02-000012","6564"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2002-01-03","","","","","0000938582-02-000011","6034"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2002-01-03","","","","","0000938582-02-000010","6237"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2001-11-13","2001-09-30","","1784624","","0000938582-01-500033","8495"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2001-11-07","","","","","0000938582-01-500031","6141"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2001-11-07","","","","","0000938582-01-500029","6313"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2001-11-07","","","","","0000938582-01-500027","6196"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2001-10-12","","","","","0000938582-01-500024","5824"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2001-10-12","","","","","0000938582-01-500022","6194"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2001-09-07","","","","","0000938582-01-500018","6374"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2001-09-07","","","","","0000938582-01-500017","6377"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2001-08-14","2001-06-30","","1711121","","0000938582-01-500014","9011"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2001-08-07","","","","","0000938582-01-500009","6161"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2001-08-06","","","","","0000938582-01-500007","6431"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2001-05-15","2001-03-31","","1639849","","0000938582-01-500005","10061"
"SC 13G","Statement of acquisition of beneficial ownership by individuals","2001-02-12","","","","","0000938582-01-000020","6215"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2001-02-12","","","","","0000938582-01-000019","6488"
